2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
9.0,8.3,8.8,8.2,8.4,8.2,8.6,8.2,8.2,8.5
8.4,8.3,8.3,8.1,8.4,8.1,8.5,8.2,8.1,8.2
8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
8.0,8.0,8.1,7.9,8.0,8.1,8.1,8.1,8.0,8.1
8.0,7.9,8.0,7.8,7.9,8.0,8.1,8.0,8.0,8.0
7.9,7.9,8.0,7.8,7.9,8.0,8.0,8.0,8.0,8.0
7.9,7.8,7.8,7.8,7.8,8.0,8.0,8.0,7.9,8.0
7.9,7.8,7.8,7.7,7.8,7.9,8.0,7.9,7.9,7.9
7.8,7.7,7.7,7.7,7.8,7.9,7.9,7.8,7.8,7.9
7.8,7.7,7.7,7.7,7.7,7.8,7.9,7.8,7.8,7.9
7.8,7.7,7.7,7.6,7.7,7.8,7.9,7.8,7.8,7.8
7.8,7.7,7.7,7.6,7.6,7.8,7.8,7.8,7.8,7.7
7.7,7.7,7.6,7.6,7.6,7.7,7.8,7.8,7.8,7.7
7.6,7.6,7.6,7.5,7.6,7.7,7.8,7.6,7.6,7.7
7.6,7.6,7.6,7.5,7.6,7.6,7.8,7.6,7.6,7.7
7.6,7.6,7.6,7.5,7.5,7.6,7.8,7.6,7.5,7.7
7.6,7.6,7.6,7.5,7.4,7.5,7.7,7.5,7.5,7.6
7.6,7.6,7.5,7.4,7.4,7.5,7.7,7.5,7.5,7.6
7.5,7.4,7.4,7.4,7.4,7.5,7.7,7.4,7.5,7.6
7.5,7.4,7.4,7.4,7.4,7.5,7.6,7.4,7.5,7.6
7.5,7.4,7.4,7.4,7.4,7.5,7.6,7.4,7.4,7.5
7.5,7.4,7.3,7.4,7.3,7.5,7.6,7.4,7.4,7.5
7.3,7.4,7.3,7.4,7.3,7.5,7.5,7.3,7.4,7.5
7.3,7.4,7.3,7.3,7.3,7.5,7.5,7.3,7.4,7.5
7.3,7.3,7.2,7.3,7.3,7.4,7.4,7.3,7.4,7.5
7.2,7.3,7.2,7.3,7.3,7.4,7.4,7.3,7.4,7.5
7.2,7.3,7.2,7.3,7.3,7.4,7.4,7.2,7.4,7.5
7.2,7.3,7.2,7.3,7.2,7.3,7.4,7.2,7.4,7.5
7.2,7.3,7.1,7.2,7.2,7.3,7.3,7.2,7.4,7.4
7.2,7.2,7.1,7.2,7.2,7.3,7.3,7.2,7.4,7.4
7.1,7.2,7.1,7.2,7.2,7.3,7.3,7.2,7.4,7.4
7.1,7.2,7.1,7.2,7.2,7.3,7.3,7.2,7.4,7.4
7.1,7.1,7.1,7.2,7.2,7.3,7.3,7.1,7.4,7.4
7.1,7.1,7.1,7.1,7.2,7.3,7.3,7.1,7.3,7.4
7.1,7.1,7.0,7.1,7.1,7.2,7.2,7.1,7.3,7.3
7.0,7.1,7.0,7.1,7.1,7.2,7.2,7.1,7.3,7.3
7.0,7.1,7.0,7.1,7.1,7.2,7.2,7.1,7.3,7.3
7.0,7.1,7.0,7.1,7.1,7.2,7.1,7.1,7.3,7.3
7.0,7.1,7.0,7.1,7.1,7.2,7.1,7.1,7.2,7.2
7.0,7.1,7.0,7.1,7.1,7.2,7.1,7.1,7.2,7.2
7.0,7.0,6.9,7.1,7.1,7.1,7.1,7.1,7.2,7.2
7.0,7.0,6.9,7.1,7.1,7.1,7.1,7.1,7.2,7.2
7.0,7.0,6.9,7.0,7.0,7.1,7.0,7.0,7.2,7.1
6.9,7.0,6.9,7.0,7.0,7.1,7.0,7.0,7.2,7.1
6.9,7.0,6.8,7.0,7.0,7.1,7.0,7.0,7.2,7.1
6.9,7.0,6.8,7.0,7.0,7.1,7.0,7.0,7.1,7.0
6.9,7.0,6.8,7.0,7.0,7.1,7.0,7.0,7.1,7.0
6.9,6.9,6.8,7.0,7.0,7.1,7.0,7.0,7.1,7.0
6.9,6.9,6.8,6.9,7.0,7.0,7.0,6.9,7.1,7.0
6.8,6.8,6.8,6.9,7.0,7.0,7.0,6.9,7.1,7.0
