2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Manchester United,Chelsea,Manchester United,Manchester City,Manchester United,Manchester City,Chelsea,Leicester City,Chelsea,Manchester City
Liverpool,Manchester United,Chelsea,Manchester United,Manchester City,Liverpool,Manchester City,Arsenal,Tottenham Hotspur,Manchester United
Chelsea,Arsenal,Manchester City,Arsenal,Chelsea,Chelsea,Arsenal,Tottenham Hotspur,Manchester City,Tottenham Hotspur
Arsenal,Tottenham Hotspur,Arsenal,Tottenham Hotspur,Arsenal,Arsenal,Manchester United,Manchester City,Liverpool,Liverpool
Everton,Manchester City,Tottenham Hotspur,Newcastle United,Tottenham Hotspur,Everton,Tottenham Hotspur,Manchester United,Arsenal,Chelsea
Aston Villa,Aston Villa,Liverpool,Chelsea,Everton,Tottenham Hotspur,Liverpool,Southampton,Manchester United,Arsenal
